Job title,Company name,Location,posted,Experience,Career Level,Education Level,Salary,Job Categories,Skills and Tools,Job link,Company Link
Senior Media Buyer (Academy / Educational Industry),ahmed hassan- English instructor,"Nasr City, Cairo, Egypt ",Posted 1 month ago,2 to 6 years,Experienced (Non-Manager),Bachelor's Degree,8000 to 12000 EGP Per Month,Marketing/PR/Advertising | Media/Journalism/Publishing,Digital Marketing | Marketing | Media Buyer | Social Media | digital media | Digital | Planning | media | Buyer,https://wuzzuf.net/jobs/p/TePeI4mNLcTK-Senior-Media-Buyer-Academy-Educational-Industry-ahmed-hassan--English-instructor-Cairo-Egypt?o=2217&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/ahmed-hassan--English-instructor-Egypt-78395
AI Engineer,GAP CLOUD,"New Cairo, Cairo, Egypt ",Posted 1 month ago,2 to 5 years,Experienced (Non-Manager),Bachelor's Degree,"Confidential, Bonuses and medical insurnace",IT/Software Development | Engineering - Telecom/Technology,Artificial Intelligence | Big Data | Machine Learning | Algorithms | Engineering | Information Technology (IT) | Programming | Design,https://wuzzuf.net/jobs/p/ZiJGiCku0mCf-AI-Engineer-GAP-CLOUD-Cairo-Egypt?o=2218&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/GAP CLOUD-Egypt-76836
Marketing Assistant Role,Paychoice,"Cairo, Egypt ",Posted 1 month ago,1 to 2 years,Experienced (Non-Manager),Not Specified,Confidential,Administration | Marketing/PR/Advertising | Media/Journalism/Publishing,Graphic Design | Social Media | Photography | Marketing | Design | Administration | media,https://wuzzuf.net/jobs/p/aVrfYflycf42-Marketing-Assistant-Role-Paychoice-Cairo-Egypt?o=2219&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Paychoice-Egypt-79942
Supply Chain Manager,Premier Services and Recruitment,"New Cairo, Cairo, Egypt ",Posted 1 month ago,More than 8 years,Manager ,Bachelor's Degree,35000 to 50000 EGP Per Month,Logistics/Supply Chain | Operations/Management,supply chain manager | Procurement | Purchasing | Supply Chain | Communication | Communication skills | ERP | Logistics | Supply | supply chain management,https://wuzzuf.net/jobs/p/0dSC4OOgmZif-Supply-Chain-Manager-Premier-Services-and-Recruitment-Cairo-Egypt?o=2220&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Premier-Services-and-Recruitment-Egypt-9418
Front End Developer,RDI,"Dokki, Giza, Egypt ",Posted 1 month ago,More than 2 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Creative/Design/Art | IT/Software Development | Engineering - Telecom/Technology,Angular | Agile | CSS3 | HTML5 | Git | JavaScript | Sass | Front-End Development | Information Technology (IT) | UI | UX | Telecom Engineering,https://wuzzuf.net/jobs/p/NafLuViisl7Z-Front-End-Developer-RDI-Giza-Egypt?o=2221&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/RDI-Egypt-5083
DevOps & Cloud Engineer,RDI,"Giza, Giza, Egypt ",Posted 1 month ago,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Installation/Maintenance/Repair | IT/Software Development | Engineering - Telecom/Technology,AWS | Cloud | DevOps | Ruby | Bash | Perl | Python | Linux | Docker | Kubernetes | Google Cloud | Information Technology (IT) | Telecom Engineering,https://wuzzuf.net/jobs/p/hmq87Qo46S0q-DevOps-Cloud-Engineer-RDI-Giza-Egypt?o=2222&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/RDI-Egypt-5083
Architect Technical Office Engineer (Shop Drawing ),TIC,"Cairo, Egypt ",Posted 1 month ago,3 to 7 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Engineering - Construction/Civil/Architecture | Creative/Design/Art,Microsoft Office | MS Office | AutoCAD | Revit | Engineering | English | Technical Office | Construction,https://wuzzuf.net/jobs/p/7cU8QMqK5Msq-Architect-Technical-Office-Engineer-Shop-Drawing-TIC-Cairo-Egypt?o=2223&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/TIC-Egypt-78517
Outside Sales Engineer,Superior Petroleum,"Maadi, Cairo, Egypt ",Posted 1 month ago,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Sales/Retail | Engineering - Oil & Gas/Energy | Engineering - Other,Sales | Outside Sales | Oil & Gas | English | Sales Operations | Engineering | Sales Target | sales skills,https://wuzzuf.net/jobs/p/z7eCuqFhSi3F-Outside-Sales-Engineer-Superior-Petroleum-Cairo-Egypt?o=2224&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Superior-Petroleum-Egypt-12075
Recruitment Supervisor,Khabeer,"Dokki, Giza, Egypt ",Posted 1 month ago,3 to 6 years,Manager ,Bachelor's Degree,5000 to 8000 EGP Per Month,Human Resources,HR | Human Resources (HR) | Recruitment | Selection | HR Diploma | Microsoft Office,https://wuzzuf.net/jobs/p/P3q5BxJMOqvb-Recruitment-Supervisor-Khabeer-Giza-Egypt?o=2225&l=sp&t=sj&a=software|search-v3|hpb|spbg,https://wuzzuf.net/jobs/careers/Khabeer-Egypt-16321
Senior ICT Systems Supervisor-Cybersecurity Officer,Confidential Company,"Red Sea, Egypt ",Posted 2 months ago,More than 10 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,IT/Software Development | Engineering - Telecom/Technology,Windows Azure | Cybersecurity | Sophos | Office 365 | Microsoft Exchange | CompTIA Security+ | ISO 27001 | GDPR | ITIL | IT Service Management,https://wuzzuf.net/jobs/p/qTc9oBBzVMfy-Senior-ICT-Systems-Supervisor-Cybersecurity-Officer-Red-Sea-Egypt?o=2226&l=sp&t=sj&a=software|search-v3|hpb|spbg,Confidential Company
PHP Developer Codeigniter / Laravel,Confidential Company,"Nasr City, Cairo, Egypt ",Posted 1 month ago,1 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,IT/Software Development | Engineering - Telecom/Technology,CodeIgniter | Laravel | Computer Science | Frameworks | Information Technology (IT) | PHP | Telecom Engineering,https://wuzzuf.net/jobs/p/ZFora6lHcX4f-PHP-Developer-Codeigniter-Laravel-Cairo-Egypt?o=2227&l=sp&t=sj&a=software|search-v3|hpb|spbg,Confidential Company
